Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Node,CellID,LAC,NetworkTech,NetworkMode,Level,Qual,SNR,CQI,LTERSSI,ARFCN,DL_bitrate,UL_bitrate,PSC,Altitude,Height,Accuracy,Location,State,DataConnection_Type,DataConnection_Info,Layer,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION_NAME,VERSION_CODE,DEVICE,BAND,BANDWIDTH,SecondCell_NODE,SecondCell_CELLID,SecondCell_RSRP,SecondCell_RSRQ,SecondCell_SNR,CSI_SNR,NetworkTypeNum,CA,SecondCell_PSC,SecondCell_ARFCN,SecondCell_BAND,Site_BEARING,BATTERY,CHARGING,FOREGROUND,AVGSPEED,Update_newF,Update_oldF,NTech1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NTech2,NCell2,NARFCN2,NRxLev2,NQual2,NTech3,NCell3,NARFCN3,NRxLev3,NQual3,NTech4,NCell4,NARFCN4,NRxLev4,NQual4,NTech5,NCell5,NARFCN5,NRxLev5,NQual5,NTech6,NCell6,NARFCN6,NRxLev6,NQual6,NTech7,NCell7,NARFCN7,NRxLev7,NQual7,NTech8,NCell8,NARFCN8,NRxLev8,NQual8,NTech9,NCell9,NARFCN9,NRxLev9,NQual9,NTech10,NCell10,NARFCN10,NRxLev10,NQual10,NTech11,NCell11,NARFCN11,NRxLev11,NQual11,NTech12,NCell12,NARFCN12,NRxLev12,NQual12,NTech13,NCell13,NARFCN13,NRxLev13,NQual13,NTech14,NCell14,NARFCN14,NRxLev14,NQual14,NTech15,NCell15,NARFCN15,NRxLev15,NQual15,NTech16,NCell16,NRxLev16,NQual16,NTech17,NCell17,NRxLev17,NQual17
2024.10.29_08.17.41,17.803104,59.231228,99,Telia,24001,240010000000014,225626,14,0,5G,5G NSA,-113,-20.0,0.0,,,154570,0,26847,639,53,53,4,G,D,M,20,1,-1,1000,100.101.226.137,15.0,,,9,E,3715A,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/20/20/10,225626.0,14.0,-105.0,-7.0,1.0,0.0,20,True,231.0,1471.0,L3,1000,100,True,False,0,0,1,4G,225626-14,40.0,231.0,1471.0,-105.0,-7.0,4G,451.0,1471.0,-114.0,-15.0,4G,,154570.0,-112.0,2147483647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.02.31,17.5738,59.055165,111,Telia,24001,240010010800012,110718,12,108,4G,LTE,-103,-9.0,0.0,12.0,-73.0,6300,0,9062,25,73,73,3,G,D,M,20,1,-1,1000,100.101.226.137,28.0,,,6,C,1B07E,6C,28343820,32.0,610,Google:Pixel 7:AP2A.240905.003,L20,10,,,,,,0.0,13,False,,,,1000,97,True,False,0,0,3,4G,,,323.0,6300.0,-106.0,-11.0,4G,279.0,1471.0,-116.0,-14.0,4G,323.0,3768.0,-116.0,-12.0,4G,279.0,1300.0,-117.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.04.38,17.598764,59.087929,108,Telia,24001,240010000000024,225677,24,0,5G,5G NSA,-112,-20.0,0.0,,,154570,0,18691,664,51,51,3,G,D,M,20,1,-1,1000,100.101.226.137,21.0,PERIODIC,,83,18,3718D,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/20/20/10/10,225677.0,24.0,-106.0,-13.0,-1.0,0.0,20,True,289.0,1471.0,L3,1000,98,True,False,0,0,2,4G,225677-24,108.0,289.0,1471.0,-106.0,-13.0,4G,182.0,1471.0,-108.0,-13.0,4G,423.0,1471.0,-109.0,-12.0,4G,279.0,1471.0,-112.0,-17.0,4G,423.0,1300.0,-106.0,-13.0,4G,182.0,1300.0,-108.0,-14.0,4G,279.0,1300.0,-110.0,-17.0,4G,423.0,3150.0,-115.0,-13.0,4G,182.0,3150.0,-122.0,-18.0,4G,335.0,6300.0,-98.0,-13.0,4G,25.0,6300.0,-100.0,-15.0,4G,,154570.0,-112.0,2147483647.0,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.26.44,17.987086,59.288939,87,Telia,24001,240010000000010,100759,10,0,5G,5G NSA,-115,-18.0,0.0,,,634080,0,102484,61,59,59,3,G,D,M,20,1,-1,1000,100.101.226.137,3.0,PERIODIC,,5,A,18997,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/20/15/10/10/100,100759.0,10.0,-95.0,-7.0,1.0,0.0,20,True,36.0,3150.0,L7,1000,100,True,False,0,0,19,4G,100759-10,40.0,36.0,3150.0,-95.0,-7.0,4G,497.0,3150.0,-96.0,-11.0,4G,139.0,3150.0,-101.0,-14.0,4G,497.0,1471.0,-93.0,-9.0,4G,61.0,,-95.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.03.21,17.586158,59.067832,112,Telia,24001,240010000000024,222267,24,0,5G,5G NSA,-112,-20.0,0.0,,,154570,0,22542,664,57,57,3,G,D,M,20,1,-1,1000,100.101.226.137,57.0,PERIODIC,,7,18,3643B,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/20/20/10/10,222267.0,24.0,-98.0,-9.0,2.0,0.0,20,True,322.0,1471.0,L3,1000,97,True,False,0,0,2,4G,222267-24,108.0,322.0,1471.0,-98.0,-9.0,4G,423.0,1471.0,-100.0,-13.0,4G,,154570.0,-114.0,2147483647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.33.13,17.837283,59.242189,69,Telia,24001,240010000000024,107408,24,0,5G,5G NSA,-108,-10.0,0.0,,,634080,0,49390,430,45,45,3,G,D,M,13,1,-1,1000,100.101.226.137,10.0,,,35,18,1A390,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/20/20/10/100,107408.0,24.0,-94.0,-9.0,6.0,0.0,20,True,88.0,1471.0,L3,1000,90,False,False,0,0,149,4G,107408-24,40.0,88.0,1471.0,-94.0,-9.0,4G,118.0,1471.0,-95.0,-11.0,4G,72.0,1471.0,-101.0,-17.0,4G,430.0,,-100.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.21.08,17.881179,59.254761,87,Telia,24001,240010004000010,103441,10,40,5G,5G NSA,-105,-11.0,16.0,14.0,,3150,0,44145,43,41,41,3,G,D,M,13,1,-1,1000,100.101.226.137,2.0,,,3,A,19411,28,26480906,32.0,610,Google:Pixel 7:AP2A.240905.003,L7,20,103441.0,10.0,-89.0,-6.0,1.0,0.0,13,False,43.0,3150.0,L7,1000,100,True,False,0,0,127,4G,103441-10,40.0,43.0,3150.0,-89.0,-6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.34.44,17.805363,59.232453,76,Telia,24001,240010000000024,104056,24,0,5G,5G NSA,-109,-11.0,0.0,,,634080,0,48823,427,53,53,4,G,D,M,20,1,-1,1000,100.101.226.137,16.0,PERIODIC,,41,18,19678,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,104056.0,24.0,-88.0,-7.0,2.0,0.0,20,True,451.0,1471.0,L3,1000,90,False,False,0,0,5,4G,104056-24,40.0,451.0,1471.0,-88.0,-7.0,4G,253.0,6300.0,-100.0,-16.0,4G,427.0,,-103.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.29.16,17.904616,59.267449,73,Telia,24001,240010004000024,102355,24,40,5G,5G NSA,-110,-12.0,5.0,10.0,,1471,0,98791,321,61,61,3,G,D,M,13,1,-1,1000,100.101.226.137,5.0,PERIODIC,,23,18,18FD3,28,26202904,32.0,610,Google:Pixel 7:AP2A.240905.003,L3,15,102355.0,24.0,-90.0,-6.0,4.0,0.0,13,False,321.0,1471.0,L3,1000,92,False,False,0,0,24,4G,102355-24,40.0,321.0,1471.0,-90.0,-6.0,4G,141.0,1300.0,-99.0,-14.0,4G,252.0,1300.0,-100.0,-16.0,4G,252.0,3150.0,-108.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.26.32,17.98228,59.28885,82,Telia,24001,240010000000010,100759,10,0,5G,5G NSA,-115,-18.0,0.0,,,154570,0,48936,994,61,61,3,G,D,M,20,1,-1,1000,100.101.226.137,4.0,PERIODIC,,9,A,18997,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,20/20/15/10/10/100,100759.0,10.0,-92.0,-6.0,2.0,0.0,20,True,36.0,3150.0,L7,1000,100,True,False,0,0,7,4G,100759-10,40.0,36.0,3150.0,-92.0,-6.0,4G,,154570.0,-109.0,2147483647.0,4G,61.0,,-122.0,-16.0,4G,,,-126.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.19.35,17.843237,59.247281,100,Telia,24001,240010000000021,107408,21,0,5G,5G NSA,-105,-11.0,0.0,,,634080,0,139991,430,41,41,3,G,D,M,20,1,-1,1000,100.101.226.137,10.0,PERIODIC,,37,15,1A390,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/20/15/10/10/100,107408.0,21.0,-76.0,-9.0,1.0,0.0,20,True,88.0,1300.0,L3,1000,100,True,False,0,0,35,4G,107408-21,40.0,88.0,1300.0,-76.0,-9.0,4G,430.0,,-84.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.51.56,17.609624,59.106657,111,Telia,24001,240010000000014,225677,14,0,5G,5G NSA,-100,-20.0,0.0,,,154570,0,67628,663,58,58,4,G,D,M,20,1,-1,1000,100.101.226.137,23.0,PERIODIC,,36,E,3718D,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/20/10/5,225677.0,14.0,-89.0,-8.0,2.0,0.0,20,True,369.0,1471.0,L3,1000,95,True,False,0,0,7,4G,225677-14,108.0,369.0,1471.0,-89.0,-8.0,4G,289.0,1471.0,-98.0,2147483647.0,4G,476.0,1471.0,-98.0,2147483647.0,4G,,154570.0,-86.0,2147483647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.05.57,17.609971,59.109288,110,Telia,24001,240010000000014,225677,14,0,5G,5G NSA,-99,-20.0,0.0,,,154570,0,20390,663,64,64,4,G,D,M,20,1,-1,1000,100.101.226.137,7.0,,,23,E,3718D,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/10,225677.0,14.0,-97.0,-6.0,2.0,0.0,20,True,369.0,1471.0,L3,1000,98,True,False,0,0,12,4G,225677-14,108.0,369.0,1471.0,-97.0,-6.0,4G,,154570.0,-104.0,2147483647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.32.39,17.843595,59.247538,80,Telia,24001,240010000000024,107408,24,0,5G,5G NSA,-108,-10.0,0.0,,,634080,0,160121,430,39,39,3,G,D,M,13,1,-1,1000,100.101.226.137,,,,1,18,1A390,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,107408.0,24.0,-83.0,-7.0,1.0,0.0,20,True,88.0,1471.0,L3,1000,91,False,False,0,0,115,4G,107408-24,40.0,88.0,1471.0,-83.0,-7.0,4G,72.0,3150.0,-102.0,-14.0,4G,430.0,,-92.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.35.59,17.783734,59.221853,94,Telia,24001,240010000000024,104056,24,0,5G,5G NSA,-116,-12.0,0.0,,,634080,0,30132,428,62,62,3,G,D,M,20,1,-1,1000,100.101.226.137,23.0,,,10,18,19678,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,104056.0,24.0,-101.0,-10.0,6.0,0.0,20,True,451.0,1471.0,L3,1000,89,True,False,0,0,6,4G,104056-24,40.0,451.0,1471.0,-101.0,-10.0,4G,287.0,1471.0,-101.0,-9.0,4G,138.0,1471.0,-110.0,-15.0,4G,287.0,1300.0,-103.0,-13.0,4G,138.0,1300.0,-107.0,-15.0,4G,287.0,3150.0,-120.0,-11.0,4G,253.0,6300.0,-97.0,-7.0,4G,428.0,,-116.0,-11.0,4G,427.0,,-116.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.23.10,17.913852,59.274152,91,Telia,24001,240010004000030,102355,30,40,4G,LTE,-102,-8.0,1.0,10.0,-73.0,3150,0,24241,74,59,59,3,G,D,M,13,1,-1,1000,100.101.226.137,3.0,PERIODIC,,13,1E,18FD3,28,26202910,32.0,610,Google:Pixel 7:AP2A.240905.003,L7,20/20/15/10/100,,,,,,0.0,13,True,,,,1000,100,True,False,0,0,3,4G,,,413.0,3150.0,-108.0,-18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_08.17.08,17.788617,59.226815,108,Telia,24001,240010000000024,104056,24,0,5G,5G NSA,-112,-11.0,0.0,,,634080,0,29226,428,54,54,3,G,D,M,20,1,-1,1000,100.101.226.137,24.0,,,14,18,19678,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15,104056.0,24.0,-99.0,-12.0,-1.0,0.0,20,False,451.0,1471.0,L3,1000,100,True,False,0,0,0,4G,104056-24,40.0,451.0,1471.0,-99.0,-12.0,4G,287.0,1471.0,-97.0,-8.0,4G,287.0,1300.0,-100.0,-10.0,4G,287.0,3150.0,-115.0,-13.0,4G,231.0,3150.0,-121.0,-19.0,4G,253.0,6300.0,-100.0,-9.0,4G,92.0,6300.0,-101.0,-10.0,4G,428.0,,-110.0,-11.0,4G,427.0,,-111.0,-11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.51.47,17.609672,59.10891,113,Telia,24001,240010000000014,225677,14,0,5G,5G NSA,-111,-20.0,0.0,,,154570,0,32851,663,63,63,4,G,D,M,20,1,-1,1000,100.101.226.137,23.0,,,27,E,3718D,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N28,15/20/10/5,225677.0,14.0,-100.0,-14.0,1.0,0.0,20,True,369.0,1471.0,L3,1000,95,True,False,0,0,16,4G,225677-14,108.0,369.0,1471.0,-100.0,-14.0,4G,476.0,1471.0,-106.0,2147483647.0,4G,,154570.0,-101.0,2147483647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.32.43,17.842674,59.247173,79,Telia,24001,240010000000024,107408,24,0,5G,5G NSA,-108,-10.0,0.0,,,634080,0,158818,430,41,41,2,G,D,M,13,1,-1,1000,100.101.226.137,2.0,PERIODIC,,5,18,1A390,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,15/100,107408.0,24.0,-72.0,-7.0,1.0,0.0,20,True,88.0,1471.0,L3,1000,91,False,False,0,0,119,4G,107408-24,40.0,88.0,1471.0,-72.0,-7.0,4G,430.0,,-81.0,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.47.26,17.648674,59.168612,102,Telia,24001,240010000000021,102709,21,0,5G,5G NSA,-115,-20.0,0.0,,,634080,0,93422,746,29,29,2,G,D,M,20,1,-1,1000,100.101.226.137,3.0,,,4,15,19135,0,0,32.0,610,Google:Pixel 7:AP2A.240905.003,N78,20/100,102709.0,21.0,-89.0,-13.0,-1.0,0.0,20,True,187.0,1300.0,L3,1000,93,True,False,0,0,127,4G,102709-21,108.0,187.0,1300.0,-89.0,-13.0,4G,97.0,1300.0,-84.0,-9.0,4G,97.0,1471.0,-88.0,-11.0,4G,176.0,6300.0,-82.0,-11.0,4G,,,-93.0,-10.0,4G,24.0,,-105.0,-13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024.10.29_07.26.16,17.959601,59.289291,94,Telia,24001,240010004000031,100763,31,40,4G,LTE,-101,-10.0,0.0,9.0,-71.0,1300,0,24015,443,64,64,3,G,D,M,13,1,-1,1000,100.101.226.137,1.0,PERIODIC,,19,1F,1899B,28,25795359,32.0,610,Google:Pixel 7:AP2A.240905.003,L3,20,,,,,,0.0,13,False,,,,1000,93,False,False,0,0,7,4G,,,487.0,1300.0,-100.0,-9.0,4G,356.0,1300.0,-103.0,-11.0,4G,315.0,1300.0,-107.0,-17.0,4G,356.0,3150.0,-110.0,-7.0,4G,487.0,3150.0,-119.0,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
